,index,City,Longitude,Latitude,MaxTemp,Humidity,Cloudiness,WindSpeed,Country,Date,CityID
0,0,Clyde River,-68.5914,70.4692,-3.77,84.0,100.0,16.11,CA,1638131411.0,5924351.0
1,1,Jamestown,-79.2353,42.097,36.72,100.0,90.0,9.22,US,1638131407.0,5122534.0
2,4,Nainital,79.4469,29.3974,39.52,65.0,0.0,4.14,IN,1638131416.0,1262117.0
3,5,Hasaki,140.8333,35.7333,34.2,48.0,2.0,0.89,JP,1638131417.0,2112802.0
4,6,Chongwe,28.682,-15.3292,66.88,49.0,3.0,4.29,ZM,1638131418.0,917688.0
5,7,Gus-Zheleznyy,41.1656,55.0581,31.46,99.0,100.0,5.06,RU,1638131420.0,557754.0
6,8,George Town,100.3354,5.4112,76.95,88.0,20.0,0.0,MY,1638131331.0,1735106.0
7,9,Manadhoo,73.3833,5.7667,80.55,78.0,97.0,12.75,MV,1638131422.0,1337618.0
8,10,Fairbanks,-147.7164,64.8378,-27.44,75.0,1.0,0.0,US,1638131424.0,5861897.0
9,11,Lázaro Cárdenas,-102.2,17.9583,84.63,55.0,4.0,10.0,MX,1638131425.0,4026082.0
10,12,Rikitea,-134.9692,-23.1203,76.33,77.0,12.0,16.82,PF,1638131315.0,4030556.0
11,13,Tuktoyaktuk,-133.0374,69.4541,-9.4,70.0,75.0,17.27,CA,1638131428.0,6170031.0
12,14,Norman Wells,-126.8329,65.282,-30.96,61.0,75.0,2.3,CA,1638131429.0,6089245.0
13,15,Albany,-73.9662,42.6001,30.85,84.0,91.0,2.98,US,1638131431.0,5106841.0
14,16,Grand-Santi,-54.3833,4.25,82.29,69.0,45.0,4.61,GF,1638131432.0,3381538.0
15,17,Sehithwa,22.7167,-20.4667,80.29,45.0,98.0,9.53,BW,1638131434.0,933109.0
16,18,Tasiilaq,-37.6368,65.6145,26.76,96.0,97.0,2.39,GL,1638131435.0,3424607.0
17,19,Srednekolymsk,153.6833,67.45,-33.07,98.0,100.0,8.19,RU,1638131437.0,2121025.0
18,20,Saskylakh,114.0833,71.9167,-19.86,100.0,100.0,4.43,RU,1638131439.0,2017155.0
19,21,Carberry,-99.3602,49.8689,26.83,77.0,100.0,7.83,CA,1638131440.0,5916706.0
20,22,Marawi,124.2928,7.9986,68.07,91.0,62.0,2.3,PH,1638131442.0,1701054.0
21,23,Karratha,116.8463,-20.7377,80.71,63.0,34.0,3.18,AU,1638131443.0,6620339.0
22,24,Hilo,-155.09,19.7297,78.53,65.0,40.0,10.36,US,1638131445.0,5855927.0
23,25,Hobart,147.3294,-42.8794,53.46,76.0,0.0,9.22,AU,1638131417.0,2163355.0
24,26,Ushuaia,-68.3,-54.8,46.06,71.0,40.0,20.71,AR,1638131219.0,3833367.0
25,27,Madang,145.7966,-5.2246,76.86,90.0,91.0,4.29,PG,1638131449.0,2091996.0
26,28,Dorado,-66.2677,18.4588,84.09,70.0,40.0,11.5,PR,1638131451.0,4564133.0
27,29,Talnakh,88.3972,69.4865,-16.1,98.0,72.0,2.37,RU,1638131452.0,1490256.0
28,30,Namatanai,152.4333,-3.6667,81.16,79.0,77.0,5.82,PG,1638131454.0,2090021.0
29,31,Kapaa,-159.319,22.0752,80.92,61.0,40.0,11.5,US,1638131455.0,5848280.0
30,32,Sémbé,14.5806,1.6481,75.22,68.0,84.0,1.97,CG,1638131457.0,2255304.0
31,33,Lebu,-73.65,-37.6167,56.28,70.0,5.0,19.35,CL,1638131458.0,3883457.0
32,34,Longyearbyen,15.6401,78.2186,10.24,56.0,75.0,27.63,SJ,1638131459.0,2729907.0
33,35,Deputatsky,139.9,69.3,-12.33,96.0,100.0,5.1,RU,1638131461.0,2028164.0
34,36,Mahébourg,57.7,-20.4081,73.69,83.0,20.0,3.44,MU,1638131462.0,934322.0
35,37,Khatanga,102.5,71.9667,-8.03,98.0,100.0,9.31,RU,1638131464.0,2022572.0
36,38,Qaanaaq,-69.3632,77.484,-8.21,77.0,23.0,8.23,GL,1638131465.0,3831208.0
37,39,Bluff,168.3333,-46.6,55.81,68.0,53.0,19.35,NZ,1638131467.0,2206939.0
38,40,Punta Arenas,-70.9167,-53.15,50.11,62.0,75.0,29.93,CL,1638131178.0,3874787.0
39,41,Eyl,49.8164,7.9803,77.99,72.0,34.0,17.6,SO,1638131338.0,60019.0
40,42,Aklavik,-135.0107,68.2191,-12.17,70.0,40.0,16.11,CA,1638131471.0,5882953.0
41,44,Port Alfred,26.891,-33.5906,66.2,80.0,6.0,10.4,ZA,1638131474.0,964432.0
42,45,Vila Franca do Campo,-25.4333,37.7167,61.21,67.0,95.0,4.9,PT,1638131475.0,3372472.0
43,47,Alofi,-169.9187,-19.0595,80.49,57.0,40.0,13.8,NU,1638131478.0,4036284.0
44,48,Mount Isa,139.5,-20.7333,76.77,29.0,75.0,11.5,AU,1638131474.0,2065594.0
45,49,Saint George,-113.5841,37.1041,75.67,23.0,1.0,0.0,US,1638131419.0,5546220.0
46,50,Saldanha,17.9442,-33.0117,64.45,85.0,26.0,5.35,ZA,1638131409.0,3361934.0
47,52,Thompson,-97.8558,55.7435,5.16,85.0,40.0,6.91,CA,1638131193.0,6165406.0
48,53,Marsá Maţrūḩ,27.2453,31.3525,64.6,63.0,0.0,4.61,EG,1638131485.0,352733.0
49,55,Hailar,119.7,49.2,4.12,96.0,91.0,6.13,CN,1638131488.0,2037078.0
50,56,Bengkulu,102.2655,-3.8004,75.85,85.0,100.0,4.72,ID,1638131489.0,1649150.0
51,57,Carnarvon,113.6333,-24.8667,75.27,64.0,0.0,14.97,AU,1638131491.0,2074865.0
52,58,Teluknaga,106.6381,-6.0989,75.24,100.0,40.0,6.91,ID,1638131492.0,1990589.0
53,59,Solnechnyy,136.6319,50.7214,12.67,95.0,100.0,3.18,RU,1638131494.0,2016307.0
54,60,Busselton,115.3333,-33.65,60.35,85.0,23.0,8.59,AU,1638131310.0,2075265.0
55,61,Mataura,168.8643,-46.1927,58.6,51.0,84.0,3.69,NZ,1638131496.0,6201424.0
56,62,Laguna,-121.4238,38.421,71.42,59.0,1.0,5.75,US,1638131498.0,5364271.0
57,63,Kruisfontein,24.7314,-34.0033,63.09,78.0,2.0,17.54,ZA,1638131499.0,986717.0
58,64,Kaeo,173.7833,-35.1,68.56,65.0,100.0,2.06,NZ,1638131501.0,2189343.0
59,65,Novoagansk,76.6625,61.9449,6.94,91.0,100.0,5.35,RU,1638131502.0,1497210.0
60,66,Crib Point,145.2,-38.35,54.36,82.0,3.0,7.07,AU,1638131504.0,2169995.0
61,67,Vaini,-175.2,-21.2,80.76,74.0,20.0,9.22,TO,1638131313.0,4032243.0
62,68,Hermanus,19.2345,-34.4187,63.55,84.0,75.0,7.61,ZA,1638131506.0,3366880.0
63,69,Avarua,-159.775,-21.2078,78.85,61.0,20.0,6.91,CK,1638131508.0,4035715.0
64,70,Yellowknife,-114.3525,62.456,18.12,93.0,90.0,12.66,CA,1638131309.0,6185377.0
65,71,Puerto Colombia,-74.9547,10.9878,86.09,73.0,93.0,16.4,CO,1638131248.0,3671497.0
66,72,Zeya,127.2667,53.75,5.7,59.0,0.0,5.08,RU,1638131513.0,2012593.0
67,73,Sitka,-135.33,57.0531,35.49,64.0,75.0,13.8,US,1638131514.0,5557293.0
68,74,Coxim,-54.76,-18.5067,86.74,59.0,99.0,4.68,BR,1638131516.0,3465228.0
69,75,Meridian,-116.3915,43.6121,50.85,63.0,1.0,0.0,US,1638131416.0,5600685.0
70,76,Puerto Ayora,-90.3518,-0.7393,78.76,81.0,85.0,10.18,EC,1638131518.0,3652764.0
71,77,Gold Coast,153.4333,-28.0,68.07,83.0,75.0,8.05,AU,1638131520.0,2165087.0
72,80,Airai,125.4092,-8.9266,60.44,89.0,100.0,1.5,TL,1638131524.0,1651810.0
73,82,Christchurch,172.6333,-43.5333,57.4,88.0,90.0,8.05,NZ,1638131359.0,2192362.0
74,83,Bethel,-73.414,41.3712,37.98,75.0,90.0,3.44,US,1638131527.0,5282297.0
75,84,Mar del Plata,-57.5575,-38.0023,66.22,88.0,90.0,14.97,AR,1638131316.0,3430863.0
76,85,New Norfolk,147.0587,-42.7826,53.1,74.0,58.0,2.35,AU,1638131530.0,2155415.0
77,86,Iquique,-70.1431,-20.2208,68.04,73.0,95.0,4.88,CL,1638131531.0,3887127.0
78,87,Raja,25.678,8.4596,79.77,31.0,7.0,3.98,SS,1638131416.0,368246.0
79,88,Padang,100.3543,-0.9492,75.94,88.0,96.0,2.93,ID,1638131534.0,1633419.0
80,89,Qeshm,56.2719,26.9581,73.29,73.0,8.0,6.98,IR,1638131536.0,119374.0
81,90,Havre-St-Pierre,-63.5986,50.2334,35.6,80.0,90.0,16.11,CA,1638131537.0,5972291.0
82,91,Balabac,117.0645,7.9868,80.44,78.0,100.0,3.09,PH,1638131539.0,1728675.0
83,92,Sorong,131.25,-0.8833,78.48,85.0,100.0,4.41,ID,1638131540.0,1626542.0
84,93,Kousséri,15.0306,12.0769,80.56,18.0,25.0,5.75,CM,1638131542.0,2229798.0
85,94,Port Hawkesbury,-61.3485,45.6169,40.59,64.0,1.0,5.75,CA,1638131456.0,6111867.0
86,95,Hong Kong,114.1577,22.2855,69.78,69.0,47.0,6.42,HK,1638131002.0,1819729.0
87,96,Yārāda,83.2667,17.65,76.32,68.0,99.0,7.4,IN,1638131545.0,1252783.0
88,97,Baykal'sk,104.1469,51.5058,22.55,72.0,100.0,4.99,RU,1638131547.0,2026979.0
89,98,Dhidhdhoo,73.1,6.8833,79.41,82.0,100.0,8.81,MV,1638131548.0,1337612.0
90,99,Aktau,51.2,43.65,39.78,46.0,76.0,11.72,KZ,1638131550.0,610612.0
91,100,Plettenberg Bay,23.3716,-34.0527,64.67,83.0,81.0,8.46,ZA,1638131551.0,964712.0
92,101,Paamiut,-49.6678,61.994,38.66,90.0,100.0,27.6,GL,1638131553.0,3421193.0
93,102,Araguaína,-48.2072,-7.1911,81.66,71.0,91.0,1.3,BR,1638131410.0,3407357.0
94,103,Nikolskoye,30.7861,59.7035,24.69,92.0,96.0,5.37,RU,1638131555.0,546105.0
95,104,Kiunga,141.2906,-6.1219,74.01,99.0,82.0,0.43,PG,1638131557.0,2093846.0
96,105,Mayor Pablo Lagerenza,-60.7718,-19.9309,80.2,75.0,100.0,15.21,PY,1638131558.0,3867427.0
97,106,Torbay,-52.7314,47.6666,45.37,70.0,75.0,13.8,CA,1638131559.0,6167817.0
98,107,Faya,42.4509,18.3851,57.31,38.0,0.0,5.26,SA,1638131561.0,110690.0
99,108,Strezhevoy,77.5889,60.7333,17.58,96.0,100.0,5.73,RU,1638131562.0,1490796.0
100,109,Tocopilla,-70.1979,-22.092,67.35,70.0,39.0,6.8,CL,1638131564.0,3869716.0
101,111,Cascais,-9.4215,38.6979,56.55,94.0,75.0,10.36,PT,1638131566.0,2269594.0
102,112,Vostok,135.8833,46.4856,18.46,89.0,97.0,5.21,RU,1638131568.0,2013279.0
103,114,Port Elizabeth,25.5701,-33.918,66.49,72.0,0.0,24.16,ZA,1638131456.0,964420.0
104,115,Ejido,-71.2375,8.5514,73.18,88.0,92.0,3.13,VE,1638131572.0,3644417.0
105,116,Santa Isabel Rio Negro,-65.0192,-0.4139,83.35,78.0,100.0,3.09,BR,1638131573.0,3662489.0
106,117,The Valley,-63.0578,18.217,85.86,74.0,20.0,9.22,AI,1638131574.0,3573374.0
107,119,Shingū,135.9833,33.7333,43.18,70.0,0.0,5.08,JP,1638131577.0,1847947.0
108,120,Pisco,-76.2167,-13.7,71.65,68.0,0.0,23.02,PE,1638131579.0,3932145.0
109,121,Ivanteyevka,37.9208,55.9711,37.74,98.0,100.0,2.84,RU,1638131580.0,555111.0
110,122,Puerto Morazán,-87.1717,12.8504,93.78,45.0,1.0,4.47,NI,1638131582.0,3617146.0
111,123,Nipawin,-104.0009,53.3668,23.04,74.0,90.0,5.75,CA,1638131583.0,6088469.0
112,125,Iranshahr,60.6848,27.2025,64.74,25.0,0.0,6.91,IR,1638131586.0,1160939.0
113,126,Foso,-1.2866,5.7012,75.2,94.0,97.0,3.89,GH,1638131588.0,2300883.0
114,127,Malakal,31.6605,9.5334,84.52,35.0,0.0,1.83,SS,1638131408.0,370737.0
115,128,Bredasdorp,20.0403,-34.5322,62.89,81.0,12.0,5.19,ZA,1638131590.0,1015776.0
116,129,Manyana,21.7167,-23.4,75.67,42.0,1.0,6.64,BW,1638131592.0,933416.0
117,130,Hithadhoo,73.0833,-0.6,81.37,75.0,66.0,17.43,MV,1638131594.0,1282256.0
118,131,Westport,-73.3579,41.1415,41.14,80.0,90.0,6.91,US,1638131449.0,4845585.0
119,132,Atuona,-139.0333,-9.8,78.33,74.0,1.0,18.88,PF,1638131298.0,4020109.0
120,133,Barrow,-156.7887,71.2906,-11.18,70.0,90.0,13.8,US,1638131307.0,5880054.0
121,134,Kieta,155.6333,-6.2167,81.52,78.0,100.0,1.68,PG,1638131599.0,2094027.0
122,135,Kavieng,150.7967,-2.5744,81.84,78.0,64.0,8.41,PG,1638131601.0,2094342.0
123,136,Riyadh,46.7219,24.6877,60.94,34.0,0.0,7.87,SA,1638131602.0,108410.0
124,137,Bogalusa,-89.8487,30.791,62.65,67.0,90.0,3.44,US,1638131603.0,4317412.0
125,138,Bambous Virieux,57.7575,-20.3428,73.65,83.0,20.0,3.44,MU,1638131493.0,1106677.0
126,139,Ulladulla,150.4667,-35.35,56.3,65.0,88.0,3.42,AU,1638131606.0,2145554.0
127,140,Lalibela,39.0333,12.0333,56.8,60.0,6.0,7.52,ET,1638131607.0,332288.0
128,141,Souillac,57.5167,-20.5167,73.78,83.0,20.0,3.44,MU,1638131609.0,933995.0
129,142,Kirakira,161.9205,-10.4544,83.16,77.0,86.0,6.89,SB,1638131610.0,2178753.0
130,143,Lawrenceburg,-84.8966,38.0373,52.27,46.0,1.0,11.5,US,1638131612.0,4297581.0
131,144,Boussé,-1.8922,12.6606,80.17,14.0,95.0,8.41,BF,1638131613.0,2361845.0
132,145,Mpika,31.4529,-11.8343,64.8,71.0,3.0,2.37,ZM,1638131615.0,905846.0
133,147,Chumikan,135.315,54.7183,1.85,89.0,100.0,5.95,RU,1638131617.0,2025256.0
134,148,Taksimo,114.8794,56.3444,-6.84,95.0,100.0,0.72,RU,1638131619.0,2015701.0
135,149,Cherskiy,161.3,68.75,-11.42,99.0,100.0,6.53,RU,1638131620.0,2126199.0
136,150,Lupşa,23.2,46.3667,49.51,84.0,100.0,7.16,RO,1638131621.0,674272.0
137,151,College,-147.8028,64.8569,-25.94,71.0,75.0,0.0,US,1638131623.0,5859699.0
138,152,Saint-Philippe,55.7679,-21.3585,76.55,83.0,42.0,3.65,RE,1638131613.0,935215.0
139,153,Corowa,146.3833,-36.0333,59.32,66.0,0.0,4.5,AU,1638131626.0,2170260.0
140,154,Presidencia Roque Sáenz Peña,-60.4388,-26.7852,78.78,64.0,32.0,11.92,AR,1638131627.0,3840300.0
141,155,Adiaké,-3.304,5.2863,78.39,83.0,85.0,7.18,CI,1638131628.0,2293428.0
142,156,Leningradskiy,178.4167,69.3833,-20.92,94.0,89.0,11.32,RU,1638131630.0,2123814.0
143,157,Hof,11.9167,50.3167,31.12,100.0,75.0,2.3,DE,1638131631.0,2902768.0
144,158,Bitung,125.1824,1.4451,76.05,82.0,100.0,4.23,ID,1638131633.0,1648636.0
145,159,Grindavik,-22.4338,63.8424,43.27,100.0,90.0,10.36,IS,1638131634.0,3416888.0
146,160,Ilulissat,-51.1,69.2167,17.62,53.0,100.0,2.3,GL,1638131627.0,3423146.0
147,161,Yulara,130.9889,-25.2406,57.04,51.0,0.0,3.44,AU,1638131591.0,6355222.0
148,162,Butaritari,172.7902,3.0707,81.61,78.0,86.0,13.18,KI,1638131638.0,2110227.0
149,163,São Filipe,-24.4956,14.8961,76.8,70.0,95.0,14.7,CV,1638131555.0,3374210.0
150,164,Zhigansk,123.3711,66.7697,-7.89,99.0,100.0,5.66,RU,1638131574.0,2012530.0
151,165,Nantucket,-70.0995,41.2835,42.91,75.0,90.0,6.91,US,1638131642.0,4944903.0
152,166,Lincoln,-96.667,40.8,53.98,43.0,1.0,10.36,US,1638131421.0,5072006.0
153,167,Ak-Dovurak,90.6,51.1833,8.67,84.0,12.0,1.5,RU,1638131644.0,1512064.0
154,168,Upernavik,-56.1549,72.7868,-9.53,80.0,8.0,11.07,GL,1638131545.0,3418910.0
155,169,Serdobsk,44.2169,52.4586,36.07,99.0,100.0,6.73,RU,1638131647.0,496934.0
156,170,Gigmoto,124.39,13.7796,80.08,88.0,96.0,9.64,PH,1638131648.0,1712961.0
157,171,Coquimbo,-71.3436,-29.9533,64.13,72.0,0.0,14.97,CL,1638131486.0,3893629.0
158,172,Ribeira Grande,-28.7,38.5167,59.4,72.0,20.0,6.91,PT,1638131382.0,3372707.0
159,173,Provideniya,-173.3,64.3833,-5.22,77.0,8.0,5.97,RU,1638131652.0,4031574.0
160,174,Quatre Cocos,57.7625,-20.2078,73.51,71.0,4.0,4.79,MU,1638131654.0,1106643.0
161,175,Bathsheba,-59.5167,13.2167,84.81,70.0,40.0,14.97,BB,1638131414.0,3374083.0
162,177,Anzio,12.6179,41.4853,53.06,63.0,96.0,23.69,IT,1638131658.0,6542092.0
163,178,Kaitangata,169.8464,-46.2817,58.39,50.0,100.0,6.93,NZ,1638131659.0,2208248.0
164,179,Cabo San Lucas,-109.9124,22.8909,79.9,65.0,90.0,0.0,MX,1638131660.0,3985710.0
165,180,Mujiayingzi,118.7833,42.1167,29.68,68.0,100.0,2.48,CN,1638131662.0,2035707.0
166,181,Bayjī,43.487,34.9311,60.42,46.0,33.0,3.13,IQ,1638131663.0,97783.0
167,182,Menongue,17.691,-14.6585,63.59,95.0,88.0,2.73,AO,1638131665.0,3347353.0
168,183,Kloulklubed,134.2556,7.0419,77.5,70.0,66.0,11.61,PW,1638131666.0,7671223.0
169,184,Marabu,114.0089,4.4148,75.34,94.0,40.0,4.61,MY,1638131668.0,1738050.0
170,185,Lagoa,-27.9833,39.05,60.39,55.0,63.0,1.9,PT,1638131669.0,3372964.0
171,186,Staryy Nadym,72.6842,65.6118,-8.88,96.0,100.0,8.19,RU,1638131670.0,1490918.0
172,187,Youghal,-7.8506,51.95,49.21,92.0,38.0,7.94,IE,1638131660.0,2960869.0
173,188,Hervey Bay,152.8535,-25.2986,71.71,87.0,52.0,14.18,AU,1638131638.0,2146219.0
174,189,Nikolayevsk-on-Amur,140.73,53.1406,20.16,96.0,100.0,1.59,RU,1638131674.0,2122850.0
175,190,Tiksi,128.8694,71.6872,-13.72,99.0,99.0,6.53,RU,1638131675.0,2015306.0
176,191,Pervomayskoye,46.7102,43.919,45.86,95.0,100.0,9.35,RU,1638131404.0,797213.0
177,192,Makkah al Mukarramah,39.8261,21.4267,78.94,55.0,0.0,2.15,SA,1638131648.0,104515.0
178,193,Lodja,23.4333,-3.4833,69.15,92.0,47.0,1.39,CD,1638131679.0,211647.0
179,194,Teguise,-13.564,29.0605,61.02,63.0,20.0,14.97,ES,1638131681.0,2510573.0
180,197,Oktyabr'skoye,44.7417,43.0645,30.34,100.0,98.0,4.47,RU,1638131685.0,515805.0
181,198,Shiyan,110.7781,32.6475,46.81,66.0,97.0,3.0,CN,1638131686.0,1794903.0
182,199,Lensk,114.9278,60.7253,4.1,98.0,100.0,2.66,RU,1638131590.0,2020838.0
183,200,Curup,102.5333,-3.4667,66.76,95.0,100.0,1.72,ID,1638131689.0,1645875.0
184,201,Djibo,-1.6306,14.1022,83.26,12.0,100.0,9.37,BF,1638131690.0,2361177.0
185,202,Ponta do Sol,-17.1,32.6667,63.23,77.0,51.0,8.61,PT,1638131691.0,2264557.0
186,203,Bereda,-7.5406,43.2686,49.75,96.0,100.0,6.4,ES,1638131693.0,3105522.0
187,204,Dimbokro,-4.7048,6.6451,78.28,80.0,57.0,4.76,CI,1638131694.0,2289983.0
